student_id,student_name,class_name,section,date,status
S1000,Learner 1,6,A,2026-06-26,Present
S1000,Learner 1,6,A,2026-06-29,Present
S1000,Learner 1,6,A,2026-06-30,Unexplained Absence
S1000,Learner 1,6,A,2026-07-01,Present
S1000,Learner 1,6,A,2026-07-02,Present
S1000,Learner 1,6,A,2026-07-03,Present
S1000,Learner 1,6,A,2026-07-06,Present
S1000,Learner 1,6,A,2026-07-07,Present
S1000,Learner 1,6,A,2026-07-08,Present
S1000,Learner 1,6,A,2026-07-09,Present
S1000,Learner 1,6,A,2026-07-10,Present
S1000,Learner 1,6,A,2026-07-13,Present
S1000,Learner 1,6,A,2026-07-14,Unexplained Absence
S1000,Learner 1,6,A,2026-07-15,Present
S1000,Learner 1,6,A,2026-07-16,Absent
S1000,Learner 1,6,A,2026-07-17,Present
S1000,Learner 1,6,A,2026-07-20,Present
S1000,Learner 1,6,A,2026-07-21,Unexplained Absence
S1000,Learner 1,6,A,2026-07-22,Unexplained Absence
S1000,Learner 1,6,A,2026-07-23,Present
S1000,Learner 1,6,A,2026-07-24,Present
S1000,Learner 1,6,A,2026-07-27,Present
S1000,Learner 1,6,A,2026-07-28,Unexplained Absence
S1000,Learner 1,6,A,2026-07-29,Present
S1000,Learner 1,6,A,2026-07-30,Absent
S1000,Learner 1,6,A,2026-07-31,Present
S1000,Learner 1,6,A,2026-08-03,Present
S1000,Learner 1,6,A,2026-08-04,Present
S1000,Learner 1,6,A,2026-08-05,Present
S1000,Learner 1,6,A,2026-08-06,Absent
S1000,Learner 1,6,A,2026-08-07,Present
S1000,Learner 1,6,A,2026-08-10,Present
S1000,Learner 1,6,A,2026-08-11,Present
S1000,Learner 1,6,A,2026-08-12,Present
S1000,Learner 1,6,A,2026-08-13,Absent
S1000,Learner 1,6,A,2026-08-14,Unexplained Absence
S1000,Learner 1,6,A,2026-08-17,Absent
S1000,Learner 1,6,A,2026-08-18,Absent
S1000,Learner 1,6,A,2026-08-19,Absent
S1000,Learner 1,6,A,2026-08-20,Absent
S1000,Learner 1,6,A,2026-08-21,Unexplained Absence
S1000,Learner 1,6,A,2026-08-24,Absent
S1001,Learner 2,7,B,2026-06-26,Present
S1001,Learner 2,7,B,2026-06-29,Present
S1001,Learner 2,7,B,2026-06-30,Present
S1001,Learner 2,7,B,2026-07-01,Present
S1001,Learner 2,7,B,2026-07-02,Present
S1001,Learner 2,7,B,2026-07-03,Present
S1001,Learner 2,7,B,2026-07-06,Present
S1001,Learner 2,7,B,2026-07-07,Absent
S1001,Learner 2,7,B,2026-07-08,Unexplained Absence
S1001,Learner 2,7,B,2026-07-09,Present
S1001,Learner 2,7,B,2026-07-10,Present
S1001,Learner 2,7,B,2026-07-13,Present
S1001,Learner 2,7,B,2026-07-14,Present
S1001,Learner 2,7,B,2026-07-15,Absent
S1001,Learner 2,7,B,2026-07-16,Present
S1001,Learner 2,7,B,2026-07-17,Present
S1001,Learner 2,7,B,2026-07-20,Present
S1001,Learner 2,7,B,2026-07-21,Absent
S1001,Learner 2,7,B,2026-07-22,Absent
S1001,Learner 2,7,B,2026-07-23,Present
S1001,Learner 2,7,B,2026-07-24,Present
S1001,Learner 2,7,B,2026-07-27,Unexplained Absence
S1001,Learner 2,7,B,2026-07-28,Present
